,Names,Gender,Hair_Color,Tags,Anime,Manga
55033,Akira SHINONOME,Female,Black Hair,"['High School Student', 'Rosy Cheeks', 'Teenager']","['Chidori RSC', 'Chidori RSC: Nationals Are Right Before Us']",
55034,Zed,Male,,"['Agent of the Afterlife', 'Scythe Wielder', 'Shinigami']","[""Death's Daughter and the Ebony Blade (Light Novel)"", 'Shinigami ni Sodaterareta Shoujo wa Shikkoku no Ken wo Mune ni Idaku']",
55035,Red,Male,Blonde Hair,"['Dark-skinned', 'Masks', 'Superpowers', 'Thief']","['My Hero Academia 3', 'My Hero Academia 4']",['My Hero Academia']
55036,Raphael HURANDEL,Male,,"['Armor', 'Cape', 'Facial Hair', 'Knight', 'Sword Fighter']","[""An Archdemon's Dilemma: How to Love Your Elf Bride"", ""An Archdemon's Dilemma: How to Love Your Elf Bride (Light Novel)""]",
55037,Anne's Mother,Female,Blonde Hair,['Adult'],['Vinland Saga'],
55038,Hiro HAMURO,Male,,"['Crossdresser', 'High School Student', 'Part Time Employee', 'Teenager']",['I Wanna Be Your Girl'],
55039,Ash's Roggenrola,Earth Powers,Elemental Powers,"['Pokemon: Black & White', 'Pokemon: Black & White: Adventures in Unova', 'Pokemon: Black & White: Adventures in Unova and Beyond', 'Pokemon: Black & White - Rival Destinies', 'Pokemon Movie 15: Kyurem vs. The Sword of Justice']",,
55040,Dawn's Cyndaquil,Elemental Powers,Fire Powers,"['Pokemon: Black & White - Rival Destinies', 'Pokemon: Diamond & Pearl', 'Pokemon: Diamond & Pearl Special', ""Pokemon: Pikachu's Big Mysterious Adventure""]",,
55041,Clemont's Heliolisk,Elemental Powers,Lightning Powers,"['Pokemon XY', 'Pokemon XY&Z']",,
55042,Alolan Persian,Cat,Darkness Powers,['Pokemon Sun & Moon'],,
55043,Alolan Muk,Darkness Powers,Elemental Powers,['Pokemon Sun & Moon'],,
55044,Suzuki,Female,Blonde Hair,['XL Joushi'],['My Boss Has XL Size'],
55045,Pupitar,Earth Powers,Elemental Powers,['Pokemon Advanced'],,
55046,Lotad,Elemental Powers,Nature Powers,"['Pokemon: Diamond & Pearl', 'Pokemon Journeys']",,
55047,Mawile,Pokemon,,"['Pokemon Movie 23: Secrets of the Jungle', 'Pokemon XY']",,
55048,Rampardos,Dinosaur,Earth Powers,['Pokemon: Diamond & Pearl'],,
55049,Evelyn ORLEANS,Female,,['Dragon'],"['By the Way, Dragon Mistress!']",
55050,Excadrill,Earth Powers,Elemental Powers,"['Pokemon: Black & White', 'Pokemon Generations']",,
55051,Krokorok,Darkness Powers,Earth Powers,['Pokemon: Black & White'],,
55052,Haxorus,Dragon,Pokemon,['Pokemon: Black & White'],,
55053,Comfey,Pokemon,,['Pokemon Sun & Moon'],,
55054,Hakamo-o,Dragon,Pokemon,['Pokemon Sun & Moon'],,
55055,Calvin SUMMERS,Male,Blonde Hair,"['Adult', 'Military', 'Police', 'Sniper']",['Hell & High Water'],
55056,Anthony MADDOCK,Male,Black Hair,"['Adult', 'Dark-skinned', 'Facial Hair', 'Military', 'Police', 'Single Parent']",['Hell & High Water'],
55057,Sora Performer,Male,Brown Hair,"['Bandana', 'Facial Hair']","['Outburst Dreamer Boys', ""Outburst Dreamer Boys: It's the Destiny of Those Born as Men""]",
55058,Lost Child,Female,Brown Hair,"['Child', 'Ponytail']","[""Working'!!""]",
55059,Misato KUROI,Female,,"['Adult', 'Hair Buns']",['Jujutsu Kaisen'],
55060,Kuro,Male,Blonde Hair,"['Barefoot', 'Demon', 'Fire Powers', 'Hot-Headed', 'Magic User', 'Pointy Ears', 'Pompadour', 'Smoker', 'Superpowers', 'Tattoo', 'Teenager', 'Wings']",['Pochi Kuro'],
55061,Maeve HOSHISATO,Female,Blonde Hair,"['Adult', 'Magic User', 'Thief', 'Wealthy']",['Hatena Illusion'],"['Hatena Illusion', 'Hatena Illusion (Light Novel)']"
55062,Sung-Joon CHOI,Male,Brown Hair,"['High School Student', 'Musician', 'Pianist', 'Smoker']",['Vampire Heart'],
55063,Yone KURUMATANI,Female,Grey Hair,"['Ponytail', 'Small Stature']",['Ahiru no Sora'],
55064,Luofeng YAN,Male,Black Hair,"['Demon', 'LGBT+', 'Martial Artist', 'Razor Floss']",['Lone Swan'],
55065,Ji-Eun,Female,Black Hair,['Freckles'],['Sweet Home'],
55066,Zombie Woman,Female,Brown Hair,"['Eye Bags', 'Hair Buns', 'Undead']",['Granblue Fantasy The Animation Season 2'],
55067,Azami,Female,Black Hair,"['Human Guise', 'Pointy Ears', 'Shapeshifter', 'Youkai']",['Tsugumomo 2'],['Tsugumomo']
55068,Principal,Male,Grey Hair,"['Closed Eyes', 'Glasses', 'School Principal']",['Ahiru no Sora'],
55069,Hideto MITSU,Male,Blonde Hair,['University Student'],['Oda Shinamon Nobunaga'],
55070,Mitsuhide Risu AKECHI,Male,Multicolored Hair,"['Animal', 'Historical Figure']",['Oda Shinamon Nobunaga'],
55071,Qiuran BAI,My Three Thousand Years To The Sky,,,,
55072,Chaea YOON,Female,Brown Hair,"['Adult', 'Teacher']",['A Good Day to be a Dog'],
55073,Luxia's Brother,Male,Brown Hair,['Military'],['Cheating Men Must Die'],
55074,Mrs. Kurihara,Female,Black Hair,"['Adult', 'Eye Bags']","[""Didn't I Say to Make My Abilities Average in the Next Life?!""]",
55075,Kousuke SETA,Male,Red Hair,"['Adult', 'Artist', 'Flirt', 'Gay', 'LGBT+', 'Manipulative', 'Seme', 'Teacher']",['Bokura no Katakoi Melancholy'],
55076,Granny Smith,Female,White Hair,"['Animal', 'Anthropomorphic', 'Farmer', 'Hair Buns']","['My Little Pony: Friendship is Magic', 'My Little Pony: The Manga – A Day in the Life of Equestria']",
55077,Kanzaki,Male,,"['Adult', 'Teacher']",['JK to Sutego no Akachan'],
55078,Asakusa's Mother,Female,Black Hair,['Adult'],['Keep Your Hands Off Eizouken!'],
55079,Orc Saigo,Male,,"['Announcer', 'Facial Hair', 'Horns', 'Pointy Ears', 'Sharp Teeth']",['Kemono Michi: Rise Up'],
55080,Jiaming HE,Male,Grey Hair,['Adult'],['My Lovely Girl'],
55081,Kai,Male,Black Hair,"['Artificial Limb', 'Athlete', 'Basketball Player', 'Disabled', 'Teenager', 'Wheelchair']",['Breakers'],
55082,Debeko,Purple Hair,,"['Demon', 'Inanimate Object', 'Rosy Cheeks', 'Wings']","['BanG Dream!', 'BanG Dream! 2nd Season', 'BanG Dream! 3rd Season']",
55083,Mayu KOZUE,Female,,"['Braids', 'Magical Girl', 'Teenager']",['Magia Record: Puella Magi Madoka Magica Side Story'],
55084,Marilyn,Infinite Dendrogram,,['Infinite Dendrogram (Light Novel)'],,
55085,Rokuko,Female,Blonde Hair,"['Braids', 'Hair Ribbons', 'Human Guise', 'Magic User']","['Lazy Dungeon Master', 'Lazy Dungeon Master (Light Novel)']",
55086,Iida,Male,Black Hair,"['Gay', 'High School Student', 'LGBT+', 'Seme', 'Teenager']","[""I Seriously Can't Believe You...""]",
55087,Katja,Female,Blonde Hair,['Waiter'],['Drifting Dragons'],
55088,Fukuwatase,Female,Red Hair,"['High School Student', 'Ponytail', 'Teenager']","['Love, Chunibyo & Other Delusions! Heart Throb']",
55089,Lewis' Blue Collar Cat,Multicolored Hair,,"['Animal', 'Cat']",['10 Years That I Loved You the Most'],
55090,Serafiona GRANZEUS,Female,Blue Hair,"['Hair Antenna', 'Magic User', 'Nobility', 'Sword Fighter']","['Forget Being the Villainess, I Want to Be an Adventurer!', 'Forget Being the Villainess, I Want to Be an Adventurer! (Light Novel)']",
55091,Tania,Female,White Hair,"['Adult', 'Beastmaster', 'Stoic']",['Cagaster of an Insect Cage'],
55092,Kai,Blonde Hair,,"['Animal', 'Anthropomorphic', 'Cat', 'Flamboyant']",['Uchitama?! Have you seen my Tama?'],
55093,Timaeus,Male,,"['Armor', 'Cape', 'Cursebearer', 'Dragon', 'Helmet', 'Knight', 'Scar', 'Sword Fighter']",['Yu-Gi-Oh! Duel Monsters'],
55094,Rikiro DAIWA,Male,Brown Hair,"['Adult', 'Editor', 'Facial Hair']",['Kakushigoto'],"[""Kakushigoto: My Dad's Secret Ambition""]"
55095,Gorio,Male,Black Hair,"['Delinquent', 'High School Student', 'Teenager']",['A Destructive God Sits Next to Me'],
55096,Sena KANDOUJI,Female,Brown Hair,"[""Love Doesn't Talk""]",,
55097,Sayo,Female,,"['High School Student', 'Pigtails']","['Welcome to Demon School, Iruma-kun']","['Welcome to Demon School, Iruma-kun']"
55098,Masato SENDO,Male,Brown Hair,"['Person in a Strange World', 'Teenager']",['Seirei Gensouki: Spirit Chronicles'],"['Seirei Gensouki: Spirit Chronicles', 'Seirei Gensouki: Spirit Chronicles (Light Novel)']"
55099,Hatsumi NANASE,Female,Black Hair,['Adult'],['In/Spectre'],
55100,Bunnelby,Pokemon,Rabbit,['Pokemon Journeys'],,
55101,Alantia,Male,Blonde Hair,"['Elf', 'Magic User', 'Pointy Ears', 'Ponytail']",['Shironeko Project: Zero Chronicle'],
55102,Luca YONAZUKI,Male,White Hair,"['Battle Gamer', 'Middle School Student', 'Teenager']","['Shadowverse', 'Shadowverse Flame']",
55103,Mimori AMAMIYA,Female,Brown Hair,"['Battle Gamer', 'Hair Antenna', 'Middle School Student', 'Teenager']","['Shadowverse', 'Shadowverse Flame']",
55104,Yasutaka NAKATA,Male,Brown Hair,['Adult'],['The Case Files of Jeweler Richard'],
