,Names,Gender,Hair_Color,Tags,Anime,Manga
411,Yumeko JABAMI,Female,Black Hair,"['Gambler', 'High School Student', 'Photographic Memory', 'Teenager', 'Transfer Student']","['Kakegurui', 'Kakegurui Picture Drama', 'Kakegurui XX']","['Kakegurui: Compulsive Gambler', 'Kakegurui Kakkokari', 'Kakegurui Yorozu']"
412,Anko MITARASHI,Female,Black Hair,"['Adult', 'Beastmaster', 'Headband', 'Ninja', 'Tomboy']","['Boruto: Naruto Next Generations', 'Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto Shippuden', 'Naruto Spin-Off: Rock Lee & His Ninja Pals']",['Naruto']
413,Hanako,Male,Black Hair,"['Ghost', 'Hat', 'Knife Fighter', 'Mischievous', 'Twin']",['Toilet-Bound Hanako-kun'],"['After-School Hanako-kun', 'Toilet-Bound Hanako-kun', 'Toilet-Bound Hanako-kun 0']"
414,Chizuru YOSHIDA,Female,Brown Hair,"['Athlete', 'Crybaby', 'High School Student', 'Teenager', 'Tomboy']","['Kimi ni Todoke - From Me To You', 'Kimi ni Todoke - From Me To You 2nd Season', 'Kimi ni Todoke - From Me To You 2nd Season Specials']",['Kimi ni Todoke: From Me to You']
415,Van HOHENHEIM,Male,Blonde Hair,"['Adult', 'Alchemist', 'Facial Hair', 'Glasses', 'Ponytail']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist The Movie: Conqueror of Shamballa']","['Fullmetal Alchemist', 'Fullmetal Alchemist (Light Novel)']"
416,Rena RYUUGUU,Female,Brown Hair,"['High School Student', 'Teenager', 'Verbal Tic']","['Higurashi no Naku Koro ni Kaku Outbreak', 'Higurashi no Naku Koro ni Kira', 'Higurashi: When They Cry - Gou', 'Higurashi: When They Cry - Sotsu', 'Last Period: the journey to the end of the despair', 'When They Cry: Higurashi', 'When They Cry: Higurashi - Nekogoroshi-hen', 'When They Cry: Kai', 'When They Cry: Kai - Ura Higu', 'When They Cry: Rei']","['Higurashi no Naku Koro ni Gou Comic Anthology', 'Higurashi no Naku Koro ni: Hirukowashi-hen', 'Higurashi no Naku Koro ni Jan', 'Higurashi no Naku Koro ni: Kokoro Iyashi-hen', 'Higurashi When They Cry: Abducted By Demons Arc', 'Higurashi When They Cry: Abducted By Demons Arc (Light Novel)', 'Higurashi When They Cry: Atonement Arc', 'Higurashi When They Cry: Atonement Arc (Light Novel)', 'Higurashi When They Cry: Cotton Drifting Arc', 'Higurashi When They Cry: Cotton Drifting Arc (Light Novel)', 'Higurashi When They Cry: Curse Killing Arc', 'Higurashi When They Cry: Curse Killing Arc (Light Novel)', 'Higurashi When They Cry: Demon Exposing Arc', 'Higurashi When They Cry: Dice Killing Arc (Light Novel)', 'Higurashi When They Cry: Eye Opening Arc', 'Higurashi When They Cry: Eye Opening Arc (Light Novel)', 'Higurashi When They Cry: Festival Accompanying Arc', 'Higurashi When They Cry: Festival Accompanying Arc (Light Novel)', 'Higurashi When They Cry: Gou', 'Higurashi When They Cry: Massacre Arc', 'Higurashi When They Cry: Massacre Arc (Light Novel)', 'Higurashi When They Cry: Meguri', 'Umineko: When They Cry Episode X']"
417,Keishin UKAI,Male,Blonde Hair,"['Adult', 'Headband', 'Piercings', 'Smoker', 'Team Coach']","['Haikyuu!!', 'Haikyuu!! Karasuno High School vs Shiratorizawa Academy', 'Haikyuu!! Lev Kenzan!', 'Haikyuu!! Movie 1: Owari to Hajimari', 'Haikyuu!! Movie 2: Shousha to Haisha', 'Haikyuu!! Movie 3: Talent and Sense', 'Haikyuu!! Movie 4: Battle of Concepts', 'Haikyuu!! Second Season', 'Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun', 'Haikyuu!! To the Top', 'Haikyuu!! To the Top: Part II', 'Haikyuu!! vs. ""Akaten""']","['Haikyuu!!', 'Haikyuu!! Shousetsuban!! Karasuno Koukou (Light Novel)']"
418,Black Hayate,Male,Multicolored Hair,"['Animal', 'Dog']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater', 'Fullmetal Alchemist: Reflections']","['Fullmetal Alchemist', 'Fullmetal Alchemist: The Complete Four-Panel Comics']"
419,Mayoi HACHIKUJI,Female,Black Hair,"['Bandages', 'Elementary School Student', 'Hair Ribbons', 'Headband', 'Mischievous', 'Pigtails', 'Snaggletooth']","['Bakemonogatari', 'Bakemonogatari Recap', 'Bakemonogatari Shaft Seisaku Tokubetsu PV', 'Koyomi History', 'Koyomimonogatari', 'Monogatari Series: Second Season', 'Nekomonogatari (Black)', 'Nisemonogatari', 'Owarimonogatari II', 'Owarimonogatari II Recaps', 'Puella Magi Madoka Magica: Magica Quartet x Nisioisin', 'Zoku Owarimonogatari']","['Bakemonogatari: Monster Tale (Light Novel)', 'Kabukimonogatari: Dandy Tale (Light Novel)', 'Koyomimonogatari: Calendar Tale (Light Novel)', 'Nisemonogatari: Fake Tale (Light Novel)', 'Onimonogatari: Demon Tale (Light Novel)', 'Shinobumonogatari (Light Novel)', 'Yoimonogatari (Light Novel)', 'Zoku Owarimonogatari: End Tale (Cont.) (Light Novel)']"
420,Shota KAZEHAYA,Male,Black Hair,"['Athlete', 'Baseball Player', 'High School Student', 'School Idol', 'Teenager']","['Kimi ni Todoke - From Me To You', 'Kimi ni Todoke - From Me To You 2nd Season', 'Kimi ni Todoke - From Me To You 2nd Season: A Crush', 'Kimi ni Todoke - From Me To You 2nd Season Specials']","['Kimi ni Todoke: From Me to You', 'Kimi ni Todoke: From Me to You Bangai-hen - Unmei no Hito', 'Kimi ni Todoke: From Me to You (Light Novel)']"
421,Mina ASHIDO,Female,Pink Hair,"['Exotic Eyes', 'High School Student', 'Horns', 'Superpowers', 'Teenager']","['My Hero Academia', 'My Hero Academia 2', 'My Hero Academia 3', 'My Hero Academia 4', 'My Hero Academia 5', 'My Hero Academia 6', 'My Hero Academia: Jump Festa 2016 Special', 'My Hero Academia: Make It! Do-or-Die Survival Training', 'My Hero Academia Movie: Two Heroes', 'My Hero Academia Movie: Two Heroes Picture Drama', 'My Hero Academia: Training of the Dead', 'My Hero Academia (Web)', 'Peace Sign']",['My Hero Academia']
422,Ein,Male,Multicolored Hair,"['Animal', 'Dog']","['Cowboy Bebop', ""Cowboy Bebop: Ein's Summer Vacation"", 'Cowboy Bebop Session XX: Mish-Mash Blues', 'Cowboy Bebop: The Movie']","['Cowboy Bebop', 'Cowboy Bebop: Shooting Star']"
423,Nagisa HAZUKI,Male,Blonde Hair,"['Athlete', 'High School Student', 'Hyperactive', 'Sweet Tooth', 'Swimmer', 'Teenager']","['Free! Dive to the Future', 'Free! Eternal Summer', 'Free! Eternal Summer: Forbidden All Hard!', 'Free! Iwatobi Swim Club', 'Free! Iwatobi Swim Club Specials', 'Free! Movie: The Final Stroke - Zenpen', 'Free! Road to the World: The Dream', 'Free! Take Your Marks', 'Free! Take Your Marks - Character Butai Aisatsu', 'Free! Timeless Medley: The Bond', 'Free! Timeless Medley: The Promise', 'High☆Speed! Free! Starting Days', 'Kyoto Animation CM: Suiei-hen']","['High Speed!', 'High Speed! (Light Novel)']"
424,Sophie HATTER,Female,Multicolored Hair,"['Braids', 'Cursebearer', 'Hair Ribbons', 'Ponytail', 'Tailor', 'Teenager']","[""Howl's Moving Castle"", 'Iblard Jikan']","[""Howl's Moving Castle""]"
425,Arataka REIGEN,Male,Blonde Hair,"['Adult', 'Manipulative', 'Smoker']","['Mob Psycho 100', 'Mob Psycho 100 II', 'Mob Psycho 100 III', 'Mob Psycho 100 II: The First Spirits and Such Company Trip - A Journey that Mends the Heart and Heals the Soul', 'Mob Psycho 100 Reigen: The Miraculous Unknown Psychic', 'Mob Psycho Mini']","['Mob Psycho 100', 'Mob Psycho 100: Reigen']"
426,Jean HAVOC,Male,Blonde Hair,"['Adult', 'Gunslinger', 'Military', 'Smoker']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist The Movie: Conqueror of Shamballa']","['Fullmetal Alchemist', 'Fullmetal Alchemist (Light Novel)', 'Fullmetal Alchemist: The Complete Four-Panel Comics']"
427,Tatsumi,Male,Brown Hair,"['Assassin', 'Hair Antenna', 'Sword Fighter']","['Akame ga Kill!', 'Akame ga Kill! Recap', 'Akame ga Kill! Theater']","['Akame ga Kill!', 'Akame ga Kill! 1.5']"
